name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Starlight Model and Talent Management Pvt Ltd,09845225726,,Behind Oshiwara Police Station Andheri West,Om Heera Panna Premises Co-operative Society Ltd. Andheri West,Mumbai,4.1,46 Ratings,"Event Management Companies, Birthday Party Organisers",19.142747222222,72.830772222222,400053,022PXX22.XX22.120804165950.S8Q1,https://www.justdial.com/Mumbai/Starlight-Model-and-Talent-Management-Pvt-Ltd-Behind-Oshiwara-Police-Station-Andheri-West/022PXX22-XX22-120804165950-S8Q1_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-1pdnqmb.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-prbi2x6egu.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-d19rpgjivq.jpg;https://content.jdmagicbox.com/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-ouya36u6go.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-jkjmgd3dyg.jpg,1,1
Hirens Harmony Events & Jalsa Entertainment,08128580736,,Near Param Keshav Baug Marriage Hall Ghatkopar West,Naurojee Lane Ghatkopar West,Mumbai,3.9,14 Ratings,"Photographers, Balloon Decorators",19.0856277778,72.9039,400086,022PXX22.XX22.100322120329.W9U6,https://www.justdial.com/Mumbai/Hirens-Harmony-Events-Jalsa-Entertainment-Near-Param-Keshav-Baug-Marriage-Hall-Ghatkopar-West/022PXX22-XX22-100322120329-W9U6_BZDET,3.9,https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-1zutg4g.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-3y14ezv.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-3xhw8wn.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-24tn6hl.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-2erau2g.jpg,1,1
Param Konark,09845205493,,Near Bahar Cinema Andheri East,J M Marg Andheri East,Mumbai,3.5,13 Ratings,"Event Organisers, Event Management Companies",19.111564,72.8532371,400069,022PXX22.XX22.110222112930.C2V2,https://www.justdial.com/Mumbai/Param-Konark-Near-Bahar-Cinema-Andheri-East/022PXX22-XX22-110222112930-C2V2_BZDET,3.5,https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.110222112930.c2v2/catalogue/param-konark-andheri-east-mumbai-event-organisers-ch2sa8bw2v.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.110222112930.c2v2/catalogue/param-konark-andheri-east-mumbai-phenyl-manufacturers-qc0975tn0g.jpg,1,1
Ezilon Media Pvt. Ltd.,09845447291,, Thane West,Thane West,mumbai,4.7,16 Ratings,"Digital Marketing Services, Advertising Agencies",19.1913675,72.9678057,400602,022PXX22.XX22.160418160312.A1S6,https://www.justdial.com/Thane/Ezilon-Media-Pvt-Ltd-Thane-West/022PXX22-XX22-160418160312-A1S6_BZDET,4.7,https://content.jdmagicbox.com/v2/comp/thane/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd--thane-west-thane-social-media-marketing-agencies-7uq3cjy0m9.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-03gq9rl4ya.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-w1y97zc5q4.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-m6sdvx4s0r.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-9kmyvod602.jpg,1,1
Shaan Institute,08401235697,,Behind Kausa Lake and Near Shimla Park Mumbra,Kausa Tallao Palli Mumbra,mumbai,4.8,369 Ratings,"Beauty Parlours, Women Beauty Parlours",19.165772222222,73.0298,400612,022PXX22.XX22.161226204802.A4L3,https://www.justdial.com/Thane/Shaan-Institute-Behind-Kausa-Lake-And-Near-Shimla-Park-Mumbra/022PXX22-XX22-161226204802-A4L3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-q4tq01v6ja.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-mumbai-computer-training-institutes-for-basic-obmob3daiz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-beauty-parlours-mg9hch3t88.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-k9apy444yp.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-ctqh7fc99w.jpg,1,1
The Event Carpenter,08123436736,,Rd Ambamata Udaipur Gourela Rajasthan Malla Talai,Ambamata Temple Malla Talai,udaipur-rajasthan,5,6 Ratings,"Event Organisers, Wedding Planners",24.583943879566,73.661400892061,313001,9999PX294.X294.260514124144.C2J5,https://www.justdial.com/Udaipur-Rajasthan/The-Event-Carpenter-Rd-Ambamata-Udaipur-Gourela-Rajasthan-Malla-Talai/9999PX294-X294-260514124144-C2J5_BZDET,5,https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/j5/9999px294.x294.260514124144.c2j5/catalogue/the-event-carpenter-malla-talai-udaipur-rajasthan-event-organisers-bswygkdn99.jpg;https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/j5/9999px294.x294.260514124144.c2j5/catalogue/the-event-carpenter-malla-talai-udaipur-rajasthan-event-organisers-4c21sraous.jpg;https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/j5/9999px294.x294.260514124144.c2j5/catalogue/6lmyfk5taaufi13-9431vkt68k.jpg;https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/j5/9999px294.x294.260514124144.c2j5/catalogue/q9y2g6jqnlrz6q8-ev46unq1gi.jpg;https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/j5/9999px294.x294.260514124144.c2j5/catalogue/the-event-carpenter-malla-talai-udaipur-rajasthan-event-organisers-975z0zi0vn.jpg,1,1
Brio Weddings and Events,07383725503,, Udaipur Surajpole,100 Feet Road Udaipur Surajpole,Udaipur-rajasthan,4.9,205 Ratings,"Event Organisers, Caterers",24.5786908611,73.6920730833,313001,9999PXXXX.XXXX.100925152549.X2I7,https://www.justdial.com/Udaipur-Rajasthan/Brio-Weddings-and-Events-Udaipur-Surajpole/9999PXXXX-XXXX-100925152549-X2I7_BZDET,4.9,https://content.jdmagicbox.com/comp/udaipur-rajasthan/i7/9999pxxxx.xxxx.100925152549.x2i7/catalogue/brio-weddings-and-events-udaipur-city-udaipur-rajasthan-event-organisers-csu93ukg3d.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/i7/9999pxxxx.xxxx.100925152549.x2i7/catalogue/brio-weddings-and-events-udaipur-city-udaipur-rajasthan-event-organisers-fkfes2puus.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/i7/9999pxxxx.xxxx.100925152549.x2i7/catalogue/brio-weddings-and-events-udaipur-city-udaipur-rajasthan-event-organisers-cslcszjase.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/i7/9999pxxxx.xxxx.100925152549.x2i7/catalogue/brio-weddings-and-events-udaipur-city-udaipur-rajasthan-event-organisers-nm81sxworx.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/i7/9999pxxxx.xxxx.100925152549.x2i7/catalogue/brio-weddings-and-events-udaipur-city-udaipur-rajasthan-event-organisers-yvm7wz918a.jpg,1,1
Majestical Events,09035274985,,Opp Old Tata Showroom and Inside Hotel Pravas Residency Madhuban,Balicha Main Road Madhuban,Udaipur-Rajasthan,5,10 Ratings,"Event Organisers, Wedding Planners",24.580458,73.714858,313004,9999PX294.X294.150107163116.Z2K5,https://www.justdial.com/Udaipur-Rajasthan/Majestical-Events-Opp-Old-Tata-Showroom-And-Inside-Hotel-Pravas-Residency-Madhuban/9999PX294-X294-150107163116-Z2K5_BZDET,5,https://content.jdmagicbox.com/comp/udaipur-rajasthan/k5/9999px294.x294.150107163116.z2k5/catalogue/majestical-events-udaipur-ho-udaipur-rajasthan-event-organisers-uv36rxkh5q.jpg;https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/k5/9999px294.x294.150107163116.z2k5/catalogue/majestical-events-udaipur-ho-udaipur-rajasthan-event-organisers-q6e25bpt9j.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/k5/9999px294.x294.150107163116.z2k5/catalogue/majestical-events-udaipur-ho-udaipur-rajasthan-event-organisers-2ie1sq4ujj.jpg;https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/k5/9999px294.x294.150107163116.z2k5/catalogue/majestical-events-udaipur-ho-udaipur-rajasthan-event-organisers-g2t4x6hc2t.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/k5/9999px294.x294.150107163116.z2k5/catalogue/majestical-events-udaipur-ho-udaipur-rajasthan-event-organisers-1zij50l0sj.jpg,1,1
Bask Entertainment Co. Pvt Ltd,08460562689,, Sardarpura,Jodhpur Sardarpura,Udaipur-Rajasthan,4.6,51 Ratings,"Event Organisers, Wedding Planners",24.5607513,73.7141956,313001,9999PX294.X294.121222164837.V7Y3,https://www.justdial.com/Udaipur-Rajasthan/Bask-Entertainment-Co-Pvt-Ltd-Sardarpura/9999PX294-X294-121222164837-V7Y3_BZDET,4.6,https://content.jdmagicbox.com/comp/udaipur-rajasthan/y3/9999px294.x294.121222164837.v7y3/catalogue/bask-entertainment-co-pvt-ltd-udaipur-city-udaipur-rajasthan-event-organisers-25nmh.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/y3/9999px294.x294.121222164837.v7y3/catalogue/bask-entertainment-co-pvt-ltd-udaipur-city-udaipur-rajasthan-event-organisers-zmqf9.jpg;https://content.jdmagicbox.com/v2/comp/service_catalogue/event-management-companies-for-video-conferencing-9999px294.x294.121222164837.v7y3-gzdlw48.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/y3/9999px294.x294.121222164837.v7y3/catalogue/bask-entertainment-co-pvt-ltd-udaipur-city-udaipur-rajasthan-event-organisers-3apmn.jpg;https://content.jdmagicbox.com/comp/service_catalogue/event-organisers-for-corporate-9999px294.x294.121222164837.v7y3-0ye9kvo.jpg,1,1
G.L.Enterprises,08105040971,,Near M Tax Factory Back Side Badgaon,Loyara Road Badgaon,udaipur-rajasthan,4.8,16 Ratings,"Air Coolers On Rent, Wedding Planners",24.6592967,73.6476103,313011,9999PX294.X294.230105110109.D3Z5,https://www.justdial.com/Udaipur-Rajasthan/GLEnterprises-Near-M-Tax-Factory-Back-Side-Badgaon/9999PX294-X294-230105110109-D3Z5_BZDET,4.8,https://content.jdmagicbox.com/comp/udaipur-rajasthan/z5/9999px294.x294.230105110109.d3z5/catalogue/g-l-enterprises-badgaon-udaipur-rajasthan-air-coolers-on-rent-l7d7d7a4ah.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/z5/9999px294.x294.230105110109.d3z5/catalogue/g-l-enterprises-badgaon-udaipur-rajasthan-air-coolers-on-rent-cqp6f7vgme.jpg;https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/z5/9999px294.x294.230105110109.d3z5/catalogue/g-l-enterprises-badgaon-udaipur-rajasthan-air-coolers-on-rent-73ve6lcowv.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/z5/9999px294.x294.230105110109.d3z5/catalogue/g-l-enterprises-badgaon-udaipur-rajasthan-air-coolers-on-rent-zvjp21sab9.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/z5/9999px294.x294.230105110109.d3z5/catalogue/g-l-enterprises-badgaon-udaipur-rajasthan-air-coolers-on-rent-5t9zmlv8v9.jpg,1,1
Soni Event and Wedding Organiser,07204989455,,Amba Mata Ambamata,Jamphal Badi Ambamata,udaipur-rajasthan,5,2 Ratings,"Event Organisers, Caterers",24.617565138889,73.7057495,313001,9999PX294.X294.230507184035.J2D4,https://www.justdial.com/Udaipur-Rajasthan/Soni-Event-and-Wedding-Organiser-Amba-Mata-Ambamata/9999PX294-X294-230507184035-J2D4_BZDET,5,https://content.jdmagicbox.com/comp/def_content/caterers/default-caterers-17.jpg,1,1
Narbada Decor & Events,08401624416,,Near Jan Hospital Sojat Marg Pali Sojat Bazar,Branch Office Naya Gaon Sojat Bazar,sojat,4.9,118 Ratings,"Caterers, Tent House",25.9267999,73.6711721,306104,9999P2960.2960.191231203927.D1T7,https://www.justdial.com/Sojat/Narbada-Decor-Events-Near-Jan-Hospital-Sojat-Marg-Pali-Sojat-Bazar/9999P2960-2960-191231203927-D1T7_BZDET,4.9,https://content.jdmagicbox.com/comp/sojat/t7/9999p2960.2960.191231203927.d1t7/catalogue/narbada-decoraters-sojat-city-sojat-yxst8o6cab.jpg;https://content.jdmagicbox.com/v2/comp/sojat/t7/9999p2960.2960.191231203927.d1t7/catalogue/narbada-decor-and-events-sojat-bazar-sojat-caterers-m3c2hp9s5d.jpg;https://content.jdmagicbox.com/comp/sojat/t7/9999p2960.2960.191231203927.d1t7/catalogue/narbada-decoraters-sojat-city-sojat-ydrjdhmrel.jpg;https://content.jdmagicbox.com/v2/comp/sojat/t7/9999p2960.2960.191231203927.d1t7/catalogue/narbada-decor-and-events-sojat-bazar-sojat-caterers-l5q2zz10xq.jpg;https://content.jdmagicbox.com/comp/sojat/t7/9999p2960.2960.191231203927.d1t7/catalogue/narbada-decoraters-sojat-city-sojat-osi47k6qlf.jpg,1,1
All In One Event,08401427254,, South Tukoganj,234/B 2nd Floor18 MG Road Trade Centre South Tukoganj,indore,4,74 Ratings,"Event Organisers, Anchoring Services",22.7482975,75.8769702,452001,0731PX731.X731.240827115516.D2G6,https://www.justdial.com/Indore/All-In-One-Event-South-Tukoganj/0731PX731-X731-240827115516-D2G6_BZDET,4,https://content.jdmagicbox.com/v2/comp/indore/g6/0731px731.x731.240827115516.d2g6/catalogue/all-in-one-event-south-tukoganj-indore-event-organisers-qcv13tg4i5.jpg;https://content.jdmagicbox.com/v2/comp/indore/g6/0731px731.x731.240827115516.d2g6/catalogue/all-in-one-event-south-tukoganj-indore-event-organisers-6a39l0a6sh.jpg;https://content.jdmagicbox.com/v2/comp/indore/g6/0731px731.x731.240827115516.d2g6/catalogue/all-in-one-event-south-tukoganj-indore-event-organisers-3n17ud2ibu.jpg;https://content.jdmagicbox.com/v2/comp/nabarangpur/g6/0731px731.x731.240827115516.d2g6/catalogue/all-in-one-event-south-tukoganj-indore-event-organisers-6o07psy0t3.jpg;https://content.jdmagicbox.com/v2/comp/indore/g6/0731px731.x731.240827115516.d2g6/catalogue/all-in-one-event-south-tukoganj-indore-event-organisers-yks7ml9xa7.jpg,1,1
Khamma Ghani Events,07487880453,,Near Balaji Marg Chopasni Housing Board,Near PF Office Chopasni Housing Board,jodhpur,5,49 Ratings,"Event Organisers, Event Management Companies",26.2713693,73.007142,342008,0291PX291.X291.251028180736.R5L4,https://www.justdial.com/Jodhpur/Khamma-Ghani-Events-Near-Balaji-Marg-Chopasni-Housing-Board/0291PX291-X291-251028180736-R5L4_BZDET,5,https://content.jdmagicbox.com/v2/comp/jodhpur/l4/0291px291.x291.251028180736.r5l4/catalogue/khamma-ghani-events-chopasni-housing-board-jodhpur-event-organisers-9iooduhwps.jpg;https://content.jdmagicbox.com/v2/comp/jodhpur/l4/0291px291.x291.251028180736.r5l4/catalogue/khamma-ghani-events-chopasni-housing-board-jodhpur-event-organisers-fxzyfolgjd.jpg;https://content.jdmagicbox.com/v2/comp/jodhpur/l4/0291px291.x291.251028180736.r5l4/catalogue/khamma-ghani-events-chopasni-housing-board-jodhpur-event-organisers-j13z4dvn56.jpg;https://content.jdmagicbox.com/v2/comp/jodhpur/l4/0291px291.x291.251028180736.r5l4/catalogue/khamma-ghani-events-chopasni-housing-board-jodhpur-event-organisers-p90r7x7gzo.jpg;https://content.jdmagicbox.com/v2/comp/jodhpur/l4/0291px291.x291.251028180736.r5l4/catalogue/khamma-ghani-events-chopasni-housing-board-jodhpur-event-organisers-nwkovzwxm6.jpg,1,1
Rajwadi Event & Wedding Planner,08123688397,,Behind Heera Petrol Pump Gumanpura,Bhilwara Gumanpura,kota-rajasthan,4.3,23 Ratings,"Event Organisers, Anchoring Services",25.1504723,75.8552662,324007,9999PX744.X744.230806215639.B8S9,https://www.justdial.com/Kota-Rajasthan/Rajwadi-Event-Wedding-Planner-Behind-Heera-Petrol-Pump-Gumanpura/9999PX744-X744-230806215639-B8S9_BZDET,4.3,https://content.jdmagicbox.com/comp/kota-rajasthan/s9/9999px744.x744.230806215639.b8s9/catalogue/rajwadi-event-and-wedding-planner-gumanpura-kota-rajasthan-event-organisers-8w1kta449p.jpg;https://content.jdmagicbox.com/comp/kota-rajasthan/s9/9999px744.x744.230806215639.b8s9/catalogue/rajwadi-event-and-wedding-planner-gumanpura-kota-rajasthan-event-organisers-ld8fcyivww.jpg;https://content.jdmagicbox.com/comp/kota-rajasthan/s9/9999px744.x744.230806215639.b8s9/catalogue/rajwadi-event-and-wedding-planner-gumanpura-kota-rajasthan-event-organisers-lc0w4fzn2v.jpg;https://content.jdmagicbox.com/comp/kota-rajasthan/s9/9999px744.x744.230806215639.b8s9/catalogue/rajwadi-event-and-wedding-planner-gumanpura-kota-rajasthan-event-organisers-1poq0drkpe.jpg;https://content.jdmagicbox.com/comp/kota-rajasthan/s9/9999px744.x744.230806215639.b8s9/catalogue/rajwadi-event-and-wedding-planner-gumanpura-kota-rajasthan-event-organisers-dt95011iv6.jpg,1,1
Narayan Events & Tents,07048202934,, Hiran Magri,Sector 6 Hiran Magri,udaipur-rajasthan,5,8 Ratings,"Event Organisers, Wedding Planners",24.543109,73.6948234,313002,9999PX294.X294.260312131233.D1S7,https://www.justdial.com/Udaipur-Rajasthan/Narayan-Events-Tents-Hiran-Magri/9999PX294-X294-260312131233-D1S7_BZDET,5,https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/s7/9999px294.x294.260312131233.d1s7/catalogue/narayan-events-and-tents-hiran-magri-udaipur-rajasthan-event-organisers-j12ykrvvcj.jpg;https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/s7/9999px294.x294.260312131233.d1s7/catalogue/narayan-events-and-tents-hiran-magri-udaipur-rajasthan-event-organisers-ke7yqjw1lf.jpg;https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/s7/9999px294.x294.260312131233.d1s7/catalogue/narayan-events-and-tents-hiran-magri-udaipur-rajasthan-event-organisers-3eisur6376.jpg;https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/s7/9999px294.x294.260312131233.d1s7/catalogue/narayan-events-and-tents-hiran-magri-udaipur-rajasthan-event-organisers-ag38y543tf.jpg;https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/s7/9999px294.x294.260312131233.d1s7/catalogue/narayan-events-and-tents-hiran-magri-udaipur-rajasthan-event-organisers-v1djfwaxn1.jpg,1,6
Surprise Planner,07383236116,, Savina,Murshid Nagar Main Road Savina,udaipur-rajasthan,5,3 Ratings,"Event Organisers, Photographers",24.549172064079,73.708341388478,313002,9999PX294.X294.260407115457.H7P3,https://www.justdial.com/Udaipur-Rajasthan/Surprise-Planner-Savina/9999PX294-X294-260407115457-H7P3_BZDET,5,https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/p3/9999px294.x294.260407115457.h7p3/catalogue/surprise-planer-savina-udaipur-rajasthan-event-organisers-jpq54makxf.jpg;https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/p3/9999px294.x294.260407115457.h7p3/catalogue/surprise-planer-savina-udaipur-rajasthan-event-organisers-ml7ynvtlmj.jpg;https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/p3/9999px294.x294.260407115457.h7p3/catalogue/surprise-planer-savina-udaipur-rajasthan-event-organisers-7jisazdfe7.jpg;https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/p3/9999px294.x294.260407115457.h7p3/catalogue/surprise-planer-savina-udaipur-rajasthan-event-organisers-ntuue8p7uz.jpg;https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/p3/9999px294.x294.260407115457.h7p3/catalogue/surprise-planer-savina-udaipur-rajasthan-event-organisers-ji8i4ut7lz.jpg,1,6
The Perfect Wedding,09972304458,,Near By Mewad Hotal Sajjan Nagar,Road Udaipur Sajjan Nagar,udaipur-rajasthan,4.9,81 Ratings,"Photographers, Pre Wedding Photographers",24.588389,73.656389,313001,9999PX294.X294.240705165018.C8Y4,https://www.justdial.com/Udaipur-Rajasthan/The-Perfect-Wedding-Near-By-Mewad-Hotal-Sajjan-Nagar/9999PX294-X294-240705165018-C8Y4_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/y4/9999px294.x294.240705165018.c8y4/catalogue/the-perfect-wedding-sajjan-nagar-udaipur-rajasthan-photographers-jlc1b6vex5.jpg;https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/y4/9999px294.x294.240705165018.c8y4/catalogue/the-perfect-wedding-sajjan-nagar-udaipur-rajasthan-photographers-36s2xk7cn3.jpg;https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/y4/9999px294.x294.240705165018.c8y4/catalogue/the-perfect-wedding-sajjan-nagar-udaipur-rajasthan-photographers-gj0tcyyywp.jpg;https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/y4/9999px294.x294.240705165018.c8y4/catalogue/the-perfect-wedding-sajjan-nagar-udaipur-rajasthan-photographers-ai1dzmscjv.jpg;https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/y4/9999px294.x294.240705165018.c8y4/catalogue/the-perfect-wedding-sajjan-nagar-udaipur-rajasthan-photographers-3g925f17nx.jpg,1,6
Rupali Tent & Events,08904584146,,Near Dudhya Ganesh Temple Udaipur Surajpole,Mulla Talai Udaipur Surajpole,Udaipur-Rajasthan,4.3,13 Ratings,"Event Organisers, Caterers",24.583652777778,73.662816666667,313001,9999PX294.X294.140119190027.Q9A2,https://www.justdial.com/Udaipur-Rajasthan/Rupali-Tent-Events-Near-Dudhya-Ganesh-Temple-Udaipur-Surajpole/9999PX294-X294-140119190027-Q9A2_BZDET,4.3,https://content.jdmagicbox.com/comp/udaipur-rajasthan/a2/9999px294.x294.140119190027.q9a2/catalogue/rupali-tent-and-events-udaipur-city-udaipur-rajasthan-caterers-01h24n9.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/a2/9999px294.x294.140119190027.q9a2/catalogue/rupali-tent-and-events-udaipur-city-udaipur-rajasthan-caterers-u7kmtbbd19.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/a2/9999px294.x294.140119190027.q9a2/catalogue/rupali-tent-and-events-udaipur-city-udaipur-rajasthan-caterers-3y3rgjk.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/a2/9999px294.x294.140119190027.q9a2/catalogue/rupali-tent-and-events-udaipur-city-udaipur-rajasthan-caterers-j09byzc5y2.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/a2/9999px294.x294.140119190027.q9a2/catalogue/rupali-tent-and-events-udaipur-city-udaipur-rajasthan-caterers-0rpm9w5.jpg,1,1
